"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 28 22:37:56 IST 2022","Mon Nov 28 22:38:17 IST 2022","20853","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if user is not a UK resident",""
"passed","Wed Nov 23 21:27:27 IST 2022","Wed Nov 23 21:27:28 IST 2022","160","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when Release Equity option is selected",""
"passed","Wed Nov 23 21:27:41 IST 2022","Wed Nov 23 21:27:43 IST 2022","1865","","EligibilityPage.spec.js","group > Verify When Applicant gives valid Eligibility Criteria ","","","Verify disclosure statement",""
"passed","Wed Nov 23 21:27:38 IST 2022","Wed Nov 23 21:27:38 IST 2022","211","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if the applicant selects bankrupt",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","5","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when Applicant residency is not selected",""
"passed","Mon Nov 28 22:38:38 IST 2022","Mon Nov 28 22:38:59 IST 2022","20359","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if user is not having regular income",""
"passed","Wed Nov 23 21:27:28 IST 2022","Wed Nov 23 21:27:28 IST 2022","153","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when a new deal on TSB mortgage selected",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:41 IST 2022","1544","","EligibilityPage.spec.js","group > Verify When Applicant gives valid Eligibility Criteria ","","","Verify Eligibility criteria of the applicant",""
"passed","Wed Nov 23 21:27:28 IST 2022","Wed Nov 23 21:27:28 IST 2022","91","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if user is not a UK resident",""
"passed","Mon Nov 28 22:36:10 IST 2022","Mon Nov 28 22:36:31 IST 2022","20612","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when Release Equity option is selected",""
"passed","Wed Nov 23 21:27:38 IST 2022","Wed Nov 23 21:27:39 IST 2022","908","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify error message when application type is not selected",""
"passed","Mon Nov 28 22:36:51 IST 2022","Mon Nov 28 22:37:13 IST 2022","21965","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when a new deal on TSB mortgage selected",""
"passed","Mon Nov 28 22:38:17 IST 2022","Mon Nov 28 22:38:38 IST 2022","21220","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if the application is not for main residence",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","11","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when Regular Income is not selected",""
"passed","Mon Nov 28 22:36:31 IST 2022","Mon Nov 28 22:36:51 IST 2022","20540","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when Buy-to-let option selected",""
"passed","Wed Nov 23 21:27:37 IST 2022","Wed Nov 23 21:27:37 IST 2022","161","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if user is not having regular income",""
"passed","Wed Nov 23 21:27:37 IST 2022","Wed Nov 23 21:27:38 IST 2022","221","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if the applicant is having CCJs",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","7","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when arrears field is not selected",""
"skipped","Wed Nov 23 21:27:10 IST 2022","Wed Nov 23 21:27:10 IST 2022","1","","Basictest.spec.js","","","","First test",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","6","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when interest on mortgage is not selected",""
"passed","Wed Nov 23 21:27:38 IST 2022","Wed Nov 23 21:27:38 IST 2022","207","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if the applicant is looking for mortgage on Interest basis",""
"passed","Wed Nov 23 21:27:28 IST 2022","Wed Nov 23 21:27:37 IST 2022","8798","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if the application is not for main residence",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","12","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when Applicant age is not selected",""
"passed","Wed Nov 23 21:27:37 IST 2022","Wed Nov 23 21:27:37 IST 2022","180","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg if the applicant is having arrears",""
"passed","Mon Nov 28 22:37:13 IST 2022","Mon Nov 28 22:37:35 IST 2022","21446","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when Apply for further advance",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","5","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when CCJ is not selected",""
"passed","Wed Nov 23 21:27:43 IST 2022","Wed Nov 23 21:27:58 IST 2022","14180","","SingleApplEligibilityCheck.spec.js","Verify Mortgage Eligibility When single applicant submits application","","","Applicant submits Eligibility criteria for Mortgage",""
"skipped","Wed Nov 23 21:27:10 IST 2022","Wed Nov 23 21:27:10 IST 2022","1","","Basictest.spec.js","","","","Second test",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","7","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when Applicant main residence is not selected",""
"passed","Wed Nov 23 21:27:28 IST 2022","Wed Nov 23 21:27:28 IST 2022","124","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when Buy-to-let option selected",""
"passed","Wed Nov 23 21:27:28 IST 2022","Wed Nov 23 21:27:28 IST 2022","74","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg when Age Term is <18 or >75Years is selected",""
"passed","Wed Nov 23 21:27:40 IST 2022","Wed Nov 23 21:27:40 IST 2022","6","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when declared bankupt is not selected",""
"passed","Mon Nov 28 22:37:35 IST 2022","Mon Nov 28 22:37:56 IST 2022","21473","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Error Msg when Age Term is <18 or >75Years is selected",""
"passed","Mon Nov 28 22:35:46 IST 2022","Mon Nov 28 22:36:10 IST 2022","24234","","EligibilityPage.test.ts","Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify the title of the page",""
"passed","Wed Nov 23 21:27:28 IST 2022","Wed Nov 23 21:27:28 IST 2022","162","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify Validation message when Apply for further advance",""
"passed","Wed Nov 23 21:27:10 IST 2022","Wed Nov 23 21:27:27 IST 2022","17749","","EligibilityPage.spec.js","group > Verify Error text when applicant does not meet Eligibility Crtiteria","","","Verify the title of the page",""
"failed","Wed Nov 23 21:27:58 IST 2022","Wed Nov 23 21:28:00 IST 2022","2782","","SingleApplEligibilityCheck.spec.js","Verify Mortgage Eligibility When single applicant submits application","","","Submit Personal Details of applicant",""
"passed","Wed Nov 23 21:27:39 IST 2022","Wed Nov 23 21:27:40 IST 2022","932","","EligibilityPage.spec.js","group > Verify Error text when user does not select Mandatory fields","","","Verify Error text when No. of applicants not selected",""
